n,integral,waktu
1,0.5,4.5299530029296875e-06
7,0.33673469387755095,6.198883056640625e-06
16,0.333984375,5.9604644775390625e-06
28,0.33354591836734687,8.106231689453125e-06
36,0.3334619341563785,1.0251998901367188e-05
43,0.3334234721471065,1.0728836059570312e-05
52,0.33339497041420124,1.239776611328125e-05
62,0.3333766909469301,1.4066696166992188e-05
69,0.3333683399845971,1.5974044799804688e-05
77,0.3333614437510541,1.7404556274414062e-05
93,0.3333526033838209,2.0742416381835938e-05
322,0.33333494078160547,7.05718994140625e-05
359,0.33333462651593326,8.654594421386719e-05
3620,0.3333333460517077,0.0008494853973388672
4374,0.33333334204479825,0.001016378402709961
4513,0.33333334151643745,0.0010175704956054688
5575,0.3333333386957311,0.0012960433959960938
6680,0.333333337068379,0.0015485286712646484
7455,0.33333333633217405,0.0017669200897216797
9334,0.33333333524632464,0.0021753311157226562
9533,0.3333333351672906,0.0023894309997558594
227373,0.3333333333365577,0.0593264102935791
235875,0.3333333333363315,0.053951263427734375
359596,0.33333333333461584,0.09368371963500977
441394,0.3333333333341903,0.11847305297851562
611944,0.33333333333377535,0.1572415828704834
651434,0.33333333333372234,0.17756009101867676
707928,0.33333333333366183,0.19391798973083496
756462,0.3333333333336268,0.21036434173583984
914272,0.33333333333352905,0.2398090362548828
947220,0.3333333333335211,0.2546398639678955
1911445,0.3333333333333663,0.5006153583526611
3542919,0.3333333333333445,0.9587180614471436
4448887,0.33333333333335674,1.2043578624725342
33173155,0.33333333333332643,8.84100866317749
33744249,0.33333333333340714,8.723047018051147
53990692,0.33333333333330456,14.36736512184143
60063717,0.3333333333333756,16.223876953125
60461719,0.3333333333333625,16.12525773048401
68180038,0.3333333333333025,17.80075764656067
72434461,0.33333333333334053,19.2582368850708
74711604,0.3333333333333486,20.206103801727295
76351391,0.3333333333334193,20.116719484329224
80842245,0.3333333333333091,20.954508781433105
89589529,0.3333333333333279,23.242851495742798
90095249,0.33333333333338977,23.69981026649475
90814922,0.33333333333338877,24.21317744255066
92609483,0.33333333333328596,24.167097806930542
95720398,0.33333333333332793,25.15536117553711
96263304,0.333333333333289,25.24061393737793
97769854,0.3333333333333507,25.844597816467285
217967736,0.33333333333321197,56.47395658493042
314781656,0.33333333333327336,82.50294041633606
356988524,0.33333333333333975,92.22443461418152
719449697,0.3333333333333388,185.86078524589539
862513064,0.3333333333333613,226.98728036880493
1000000000,0.3333333333332974,265.1066529750824
