n,integral,waktu
1,0.6381195335276968,0.0004852829879382625
7,0.9423244465196793,1.0494011803530157e-05
16,0.36649564959912534,7.2900002123788e-06
28,0.3336345364727681,7.218011887744069e-06
36,0.3348762965197248,7.809998351149261e-06
43,0.336958670028089,8.332004654221237e-06
52,0.34109388064912394,8.600007276982069e-06
62,0.34105211173304156,9.220995707437396e-06
69,0.35054140262661027,9.616996976546943e-06
77,0.35225233275940493,9.890005458146334e-06
93,0.5123748375903249,1.753699325490743e-05
322,0.3362404035338143,2.3761996999382973e-05
359,0.3346367010970952,2.559898712206632e-05
3620,0.33333334605170734,0.00026632900699041784
4374,0.3335476440818802,0.000294550001854077
4513,0.3336449183235113,0.0002701079938560724
5575,0.17712256690827877,0.0003851189976558089
6680,0.4896281744919364,0.00042772899905685335
7455,0.17712606418912025,0.00047693199303466827
9334,0.4271934461438047,0.0005932829953962937
9533,0.3959913060639835,0.0005838820070493966
227373,0.3333395180987672,0.015519250999204814
235875,0.33333532060930293,0.014395796009921469
359596,0.3333333333346198,0.031038821005495265
441394,0.3333354572837339,0.0314605909952661
611944,0.3333333333337787,0.03850866499124095
651434,0.33333477246499954,0.051657361997058615
707928,0.333333333333667,0.042906960006803274
756462,0.3333345726545295,0.05813400600163732
914272,0.33333333333353005,0.05512353399535641
947220,0.3333333333335167,0.06891760299913585
1911445,0.33333406903320995,0.1302055699925404
3542919,0.333333465639469,0.2477613039955031
4448887,0.33333343869675824,0.3062289279914694
33173155,0.33333334746370397,2.282134381006472
33744249,0.33333337500711957,2.4078412119997665
53990692,0.33333333333336257,3.7899162489920855
60063717,0.3333333567459848,4.073062613009824
60461719,0.3333333410862343,4.345271767990198
68180038,0.33333334708366213,4.846289795998018
72434461,0.3333333527474235,5.201110166002763
74711604,0.333333333333308,5.209554522996768
76351391,0.33333333947272836,5.376161854990642
80842245,0.3333333507283267,5.612764753997908
89589529,0.33333334902991113,6.14841635999619
90095249,0.33333334894180044,6.301743326999713
90814922,0.33333334365650547,6.445428035003715
92609483,0.33333333839486057,6.773999274999369
95720398,0.33333334312745255,6.784711668995442
96263304,0.33333333333329973,6.872201680991566
97769854,0.3333333429222002,7.0062890390108805
217967736,0.33333333333334203,15.516710882002371
314781656,0.3333333333332759,22.628292241992312
356988524,0.3333333333332868,25.555650062990026
719449697,0.33333333528800657,51.62429591799446
862513064,0.333333333333361,61.78008215599402
1000000000,0.3333333333333359,72.09119585598819
